BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,StockOptionLevel_0,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3,Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,29.0,318.0,8.0,4.0,2.0,77.0,1.0,1.0,1.0,2119.0,4759.0,1.0,11.0,3.0,4.0,7.0,4.0,2.0,7.0,7.0,0.0,7.0,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,1217.0,2.0,4.0,1.0,60.0,3.0,3.0,3.0,13549.0,24001.0,9.0,12.0,3.0,1.0,16.0,5.0,1.0,4.0,3.0,0.0,3.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,329.0,1.0,4.0,2.0,88.0,3.0,1.0,2.0,2387.0,6762.0,3.0,22.0,4.0,3.0,7.0,3.0,3.0,4.0,2.0,0.0,3.0,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,653.0,10.0,4.0,4.0,92.0,2.0,2.0,3.0,5063.0,15332.0,1.0,14.0,3.0,2.0,8.0,3.0,2.0,8.0,2.0,7.0,7.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,33.0,924.0,2.0,3.0,3.0,78.0,3.0,1.0,4.0,2496.0,6670.0,4.0,11.0,3.0,4.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30.0,946.0,2.0,3.0,3.0,52.0,2.0,2.0,4.0,6877.0,20234.0,5.0,24.0,4.0,2.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,722.0,24.0,1.0,2.0,60.0,2.0,4.0,4.0,12031.0,8828.0,0.0,11.0,3.0,1.0,21.0,2.0,2.0,20.0,9.0,9.0,6.0,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,693.0,7.0,3.0,4.0,57.0,4.0,1.0,3.0,2610.0,15748.0,1.0,11.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,0.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,561.0,2.0,3.0,4.0,61.0,3.0,2.0,2.0,4805.0,16177.0,0.0,19.0,3.0,2.0,9.0,3.0,4.0,8.0,7.0,3.0,7.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,53.0,238.0,1.0,1.0,4.0,34.0,3.0,2.0,1.0,8381.0,7507.0,7.0,20.0,4.0,4.0,18.0,2.0,4.0,14.0,7.0,8.0,10.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,1387.0,10.0,5.0,2.0,76.0,3.0,2.0,1.0,5377.0,3835.0,2.0,13.0,3.0,4.0,10.0,3.0,3.0,7.0,7.0,7.0,7.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,1040.0,3.0,2.0,4.0,79.0,4.0,2.0,1.0,6842.0,26308.0,6.0,20.0,4.0,1.0,13.0,3.0,3.0,5.0,4.0,0.0,4.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,1398.0,2.0,4.0,3.0,79.0,3.0,5.0,3.0,18041.0,13022.0,0.0,14.0,3.0,4.0,21.0,2.0,3.0,20.0,15.0,1.0,12.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,723.0,8.0,4.0,3.0,85.0,2.0,2.0,2.0,4941.0,17747.0,2.0,15.0,3.0,1.0,11.0,3.0,2.0,8.0,2.0,7.0,7.0,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,38.0,397.0,2.0,2.0,4.0,54.0,2.0,3.0,3.0,7756.0,14199.0,3.0,19.0,3.0,4.0,10.0,6.0,4.0,5.0,4.0,0.0,2.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,1230.0,1.0,2.0,4.0,33.0,2.0,2.0,4.0,4775.0,19146.0,6.0,22.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,59.0,1429.0,18.0,4.0,4.0,67.0,3.0,3.0,4.0,10512.0,20002.0,6.0,12.0,3.0,4.0,25.0,6.0,2.0,9.0,7.0,5.0,4.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,1358.0,24.0,1.0,4.0,67.0,3.0,1.0,3.0,2693.0,13335.0,1.0,22.0,4.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,56.0,206.0,8.0,4.0,4.0,99.0,3.0,5.0,2.0,19717.0,4022.0,6.0,14.0,3.0,1.0,36.0,4.0,3.0,7.0,3.0,7.0,7.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,477.0,24.0,3.0,4.0,49.0,3.0,1.0,2.0,3597.0,6409.0,8.0,22.0,4.0,4.0,6.0,2.0,3.0,4.0,3.0,1.0,2.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,1252.0,23.0,2.0,3.0,81.0,4.0,1.0,3.0,2700.0,23779.0,1.0,24.0,4.0,3.0,10.0,3.0,3.0,10.0,7.0,0.0,7.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0,611.0,7.0,4.0,2.0,88.0,3.0,5.0,2.0,19833.0,4349.0,1.0,14.0,3.0,2.0,21.0,3.0,2.0,21.0,8.0,12.0,8.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,56.0,1369.0,23.0,3.0,4.0,68.0,3.0,4.0,2.0,13402.0,18235.0,4.0,12.0,3.0,1.0,33.0,0.0,3.0,19.0,16.0,15.0,9.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,1126.0,1.0,2.0,4.0,66.0,3.0,4.0,4.0,17399.0,6615.0,9.0,22.0,4.0,3.0,32.0,1.0,2.0,5.0,4.0,1.0,3.0,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,3.0,4.0,3.0,48.0,2.0,1.0,4.0,2853.0,4223.0,0.0,11.0,3.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,43.0,1473.0,8.0,4.0,3.0,74.0,3.0,2.0,3.0,4522.0,2227.0,4.0,14.0,3.0,4.0,8.0,3.0,3.0,5.0,2.0,0.0,2.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,1070.0,3.0,4.0,3.0,45.0,3.0,4.0,3.0,17584.0,21016.0,3.0,16.0,3.0,4.0,21.0,5.0,2.0,5.0,3.0,1.0,3.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,155.0,9.0,2.0,1.0,67.0,3.0,2.0,3.0,2897.0,22474.0,3.0,11.0,3.0,3.0,9.0,6.0,2.0,4.0,3.0,2.0,3.0,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,32.0,1109.0,29.0,4.0,4.0,69.0,3.0,1.0,3.0,4025.0,11135.0,9.0,12.0,3.0,2.0,10.0,2.0,3.0,8.0,7.0,7.0,7.0,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,1496.0,1.0,3.0,1.0,92.0,3.0,1.0,3.0,2909.0,15747.0,3.0,15.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,1.0,2.0,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,1327.0,3.0,4.0,2.0,73.0,3.0,3.0,3.0,13675.0,13523.0,9.0,12.0,3.0,1.0,9.0,3.0,3.0,2.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.0,130.0,2.0,2.0,4.0,32.0,3.0,3.0,2.0,7351.0,20619.0,7.0,16.0,3.0,3.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,836.0,2.0,4.0,2.0,98.0,2.0,1.0,4.0,2662.0,7975.0,8.0,20.0,4.0,2.0,19.0,2.0,4.0,5.0,2.0,0.0,4.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,185.0,23.0,4.0,2.0,91.0,1.0,1.0,3.0,2705.0,9696.0,0.0,16.0,3.0,2.0,6.0,2.0,4.0,5.0,4.0,0.0,3.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,1389.0,21.0,4.0,2.0,51.0,4.0,3.0,1.0,9980.0,10195.0,1.0,11.0,3.0,3.0,10.0,1.0,3.0,10.0,9.0,8.0,8.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,359.0,18.0,5.0,4.0,89.0,4.0,1.0,1.0,2956.0,21495.0,0.0,17.0,3.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,465.0,1.0,3.0,1.0,74.0,3.0,1.0,4.0,3420.0,10205.0,7.0,12.0,3.0,3.0,17.0,2.0,2.0,6.0,5.0,1.0,2.0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,51.0,770.0,5.0,3.0,3.0,84.0,3.0,4.0,2.0,14026.0,17588.0,1.0,11.0,3.0,2.0,33.0,2.0,3.0,33.0,9.0,0.0,10.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,660.0,15.0,3.0,1.0,81.0,3.0,2.0,3.0,4834.0,7858.0,7.0,14.0,3.0,2.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,1485.0,12.0,1.0,3.0,79.0,3.0,1.0,4.0,2515.0,22955.0,1.0,11.0,3.0,4.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,1239.0,8.0,2.0,3.0,89.0,3.0,2.0,2.0,4071.0,12832.0,2.0,13.0,3.0,3.0,19.0,4.0,2.0,10.0,0.0,4.0,7.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,35.0,583.0,25.0,4.0,3.0,57.0,3.0,3.0,3.0,10388.0,6975.0,1.0,11.0,3.0,3.0,16.0,3.0,2.0,16.0,10.0,10.0,1.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,34.0,121.0,2.0,4.0,3.0,86.0,2.0,1.0,1.0,4381.0,7530.0,1.0,11.0,3.0,3.0,6.0,3.0,3.0,6.0,5.0,1.0,3.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,31.0,330.0,22.0,4.0,4.0,98.0,3.0,2.0,3.0,6179.0,21057.0,1.0,15.0,3.0,4.0,10.0,3.0,2.0,10.0,2.0,6.0,7.0,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,793.0,16.0,1.0,2.0,33.0,3.0,1.0,4.0,2862.0,3811.0,1.0,12.0,3.0,2.0,10.0,2.0,2.0,10.0,0.0,0.0,8.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,218.0,7.0,3.0,2.0,100.0,4.0,2.0,4.0,6929.0,12241.0,4.0,11.0,3.0,2.0,10.0,3.0,2.0,8.0,7.0,7.0,7.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,1003.0,5.0,3.0,1.0,51.0,3.0,2.0,3.0,8346.0,20943.0,1.0,19.0,3.0,3.0,6.0,3.0,3.0,5.0,2.0,0.0,2.0,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,1391.0,10.0,1.0,3.0,66.0,3.0,1.0,3.0,2684.0,12127.0,0.0,17.0,3.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,58.0,601.0,7.0,4.0,3.0,53.0,2.0,3.0,1.0,10008.0,12023.0,7.0,14.0,3.0,4.0,31.0,0.0,2.0,10.0,9.0,5.0,9.0,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,638.0,8.0,2.0,3.0,91.0,4.0,2.0,3.0,5175.0,22162.0,5.0,12.0,3.0,3.0,9.0,3.0,2.0,5.0,3.0,1.0,3.0,0
