COUPON,NEW,HI,S_INCOME,E_INCOME,S_POP,E_POP,DISTANCE,VACATION_Yes,SW_Yes,SLOT_Free,GATE_Free,FARE
1.29,3,6317.55,24725,32991,1074558,8621121,951,0,0,0,1,234.31
1,3,5619.02,24575,23025,1197234,2753373,248,1,1,1,1,53.07
1.21,3,4213.71,29055,26506,1862106,4459144,1139,0,0,1,0,256.48
1.77,1,2548.46,32991,26409,8621121,249561,2444,0,0,1,0,302.33
1.39,0,2844.24,24575,25450,1197234,1694803,1140,1,1,1,1,78.24
1.02,3,3463.96,29260,25995,7830332,1115048,401,0,1,1,1,84.21
1.28,3,3262.15,29260,21276,7830332,1481709,1038,0,1,0,1,128.36
1.42,3,4221.56,25450,31981,1694803,4549784,935,0,0,0,1,182.56
1.02,3,4347.48,29055,28739,1862106,2761118,693,0,0,1,0,133.5
1,3,5454.19,34880,29284,1594251,298680,188,1,1,1,1,42.47
1.35,3,2024.97,25450,38813,1694803,1653017,1500,0,0,1,1,116.52
1.78,3,2905.97,32991,21276,8621121,1481709,1577,0,0,0,1,273.53
1,0,3702.18,29260,25475,7830332,1489247,167,0,1,1,1,62.63
1.25,3,4148.56,29260,30916,7830332,2230831,1731,0,0,1,1,260.16
1.01,3,3408.11,26046,29838,2230955,7145897,309,0,1,1,1,56.76
1,3,3059.78,29260,26506,7830332,4459144,237,0,1,0,0,74.28
1.77,3,2548.46,32991,26409,8621121,249561,2444,0,0,0,1,302.33
1.11,3,8437.67,26506,25475,4459144,1489247,241,0,1,1,0,169.58
1.33,3,3680.6,24706,31981,9056076,4549784,2300,0,0,1,1,303.82
1.55,3,3127.59,27994,23025,4948339,2753373,2083,0,0,1,1,291.78
1.11,3,3046.45,24502,32991,125722,8621121,475,0,0,1,0,174.87
1.06,3,5430.52,26506,32991,4459144,8621121,492,0,0,1,0,209.35
1.11,2,9129.66,29838,24205,29838,905329,328,0,0,1,1,176.88
1.46,3,2946.23,22038,31981,1308499,4549784,956,0,0,1,1,164.3
1.01,0,6906.75,24575,23903,1197234,2673620,258,1,1,1,1,53.14
1.04,0,5796.38,30268,31981,1106780,4549784,315,0,0,1,1,117.35
1.02,0,3585.86,21125,32991,1536012,8621121,291,0,0,0,1,150.13
1.06,3,4803.13,28637,25824,3036732,2549844,556,0,0,1,1,188.11
1.06,3,5430.52,26506,32991,4459144,8621121,492,0,0,0,0,209.35
1.27,3,3472.17,26752,24706,1440377,9056076,2341,1,0,1,1,193.5
1.25,3,8589.17,30124,25237,5787293,1318892,722,0,0,1,0,237.8
1.04,3,5450.85,26993,24307,3532657,989164,320,0,0,1,1,101.68
1.26,3,3647.27,32991,25995,8621121,1115048,760,0,0,1,0,215.01
1.16,3,5790.88,26506,22360,4459144,1421287,963,1,0,1,0,102.95
1.37,1,3787.29,32991,30460,8621121,528868,1042,1,0,0,1,137.25
1.18,3,8072.26,24575,24236,1197234,1481076,387,1,1,1,1,56.91
1.06,3,3474.23,32991,26101,8621121,1021830,426,0,0,1,0,154.73
1.04,3,5483.29,30124,31981,5787293,4549784,400,0,0,0,1,132.79
1.05,3,5089.75,24706,21121,9056076,1228816,584,0,1,1,1,66.46
1.6,2,2617,25450,29838,1694803,7145897,964,0,1,1,1,114.76
1,3,5391.08,24706,29846,9056076,2237227,334,0,1,1,1,53.8
1.15,1,3081.34,22360,31981,1421287,4549784,760,1,0,1,1,125.8
1.02,0,3959.07,29055,23025,1862106,2753373,590,0,0,1,1,133.04
1.15,3,3081.34,22360,31981,1421287,4549784,760,1,0,0,1,125.8
1.2,3,7520.09,28637,25450,3036732,1694803,458,0,0,1,1,116.57
1.03,3,5889.77,30916,24236,2230831,1481076,618,0,1,1,1,64.39
1.01,1,4315.92,23901,26409,372606,249561,344,0,1,1,1,66.88
1.08,3,2216.7,32991,37375,8621121,991717,1030,1,0,0,1,129.63
1.36,3,2421.04,32991,22263,8621121,472254,1636,0,0,0,1,154.74
1.13,3,4146.13,29260,30268,7830332,1106780,779,0,0,1,1,240.88
1.06,3,3474.23,32991,26101,8621121,1021830,426,0,0,0,1,154.73
1.34,0,2587.89,32991,18851,8621121,254153,637,0,0,0,1,118.95
1.02,3,5898.74,32991,25054,8621121,2374260,325,0,0,0,0,169.9
1.29,3,3152,21081,32991,895123,8621121,613,0,0,0,1,144.6
1,3,5963.75,26993,23614,3532657,1008768,280,1,0,1,1,87.59
1.19,3,7968.63,28739,31981,2761118,4549784,916,0,0,0,0,235.1
1,3,5293.05,28637,22726,3036732,547633,308,0,1,1,1,59.77
1.46,3,6749.12,26993,21121,3532657,1228816,1588,0,0,1,1,179.13
1.01,3,3305.7,26752,23614,1440377,1008768,303,1,0,1,1,114.93
1.06,3,2828.16,26752,32991,1440377,8621121,1068,1,0,0,1,123.18
1.14,3,8117.12,25824,31981,2549844,4549784,699,0,0,0,1,258.37
1.19,3,5307.27,26506,24575,4459144,1197234,1756,1,0,1,0,163.78
1.92,3,1940.17,22089,32991,668159,8621121,1822,0,0,0,1,208.79
1.28,3,5138.01,24706,25824,9056076,2549844,1602,0,1,1,1,210.16
1.64,3,3863.5,32991,21121,8621121,1228816,1982,0,0,0,1,259.32
1.01,3,2668.2,29260,24502,7830332,1442203,286,0,1,0,1,75.07
1.35,3,2902.44,30124,24706,5787293,9056076,2605,0,0,1,1,301.79
1.42,3,2995.1,22038,32991,1308499,8621121,1173,0,0,0,1,208.71
1.19,3,4136.63,25824,23654,2549844,2195215,865,1,1,1,1,135.76
1.07,3,3289.86,24502,31981,125722,4549784,310,0,0,0,1,100.95
1.02,3,9588.09,29846,23903,2237227,2673620,448,0,1,1,1,57.29
1.05,3,3316.9,29260,32991,7830332,8621121,723,0,0,0,1,159.71
1.17,3,7262.65,23665,34880,1038660,1594251,1473,0,1,1,1,200.41
1.23,3,4202.66,26993,29055,3532657,1862106,1200,0,0,1,1,210.9
1.18,3,3725.96,25450,23025,1694803,2753373,1046,0,1,1,1,85.48
1,3,2850.33,30124,32991,5787293,8621121,183,0,0,0,1,116.78
1.1,3,7138.34,28637,25995,3036732,1115048,634,0,0,1,1,181.99
1.29,3,4356.12,22038,29838,1308499,7145897,992,0,1,1,1,132.05
1.02,3,5898.74,32991,25054,8621121,2374260,325,0,0,0,0,169.9
1.15,3,6172.24,27994,23654,4948339,2195215,932,1,0,1,1,122.99
1.05,3,3316.9,29260,32991,7830332,8621121,723,0,0,0,0,159.71
1.48,3,3285.29,24575,22360,1197234,1421287,2035,1,0,1,1,117.59
1.64,1,3863.5,32991,21121,8621121,1228816,1982,0,0,1,0,259.32
1.06,3,4593.38,26993,32991,3532657,8621121,756,0,0,0,1,162.28
1.92,3,1550.16,24502,24706,125722,9056076,1996,0,0,1,1,179.23
1.06,3,4157.61,28637,29055,3036732,1862106,638,0,0,1,1,155.81
1.07,3,4959.21,27211,22956,3770125,754013,444,0,1,1,1,100.36
1.44,3,4633.51,30268,23654,1106780,2195215,1108,1,0,1,1,125.25
1.59,3,2705.03,30124,30916,5787293,2230831,2489,0,0,1,1,297.61
1.02,3,5230.32,29260,25127,7830332,679984,428,0,1,1,1,67.77
1.01,3,4988.83,26993,24725,3532657,1074558,331,0,0,1,1,70.62
1.06,3,3474.23,32991,26101,8621121,1021830,426,0,0,0,1,154.73
1.27,3,3942.83,27211,24706,3770125,9056076,1379,0,1,1,1,195.28
1.3,3,5553.16,24575,21276,1197234,1481709,1074,1,1,1,1,86.71
1.16,3,6275.61,32991,25824,8621121,2549844,877,0,0,1,0,261.63
1.17,3,2517.74,24706,32991,9056076,8621121,2467,0,0,0,1,326.47
1.39,3,2892.9,32991,23025,8621121,2753373,2148,0,0,0,1,273.12
1.16,3,4523.31,29260,25237,7830332,1318892,589,0,0,0,0,234.15
1.44,3,5011.88,26993,23903,3532657,2673620,1886,0,0,1,1,204.35
1.1,3,6102.03,25059,32991,1595139,8621121,582,0,0,1,0,205
1.24,3,6166.1,24706,28739,9056076,2761118,1539,0,0,1,0,246.1
1.05,3,3042.09,21207,32991,2105604,8621121,1097,1,0,1,0,124.92
1.08,3,3748.6,29260,27994,7830332,4948339,673,0,0,1,1,215.06
1.43,3,4074.1,21207,38813,2105604,1653017,2579,1,0,1,1,261.67
1.01,3,4435.92,26993,25237,3532657,1318892,227,0,0,1,0,97.96
1.34,1,2587.89,32991,18851,8621121,254153,637,0,0,1,0,118.95
1.03,3,3467.7,27211,25824,3770125,2549844,682,0,1,1,1,105.13
1.07,3,3289.86,24502,31981,125722,4549784,310,0,0,1,1,100.95
1.29,1,6108.57,32991,26695,8621121,1646147,736,0,0,1,0,190.09
1,3,3702.18,29260,25475,7830332,1489247,167,0,1,0,1,62.63
1,3,2626.9,32991,29838,8621121,7145897,181,0,0,0,1,117.23
1.05,3,3316.9,29260,32991,7830332,8621121,723,0,0,1,0,159.71
1.18,3,3690.13,27211,24575,3770125,1197234,1222,1,1,1,1,112.99
1.05,3,4597.29,26506,27994,4459144,4948339,450,0,0,1,0,175.66
1.02,3,5317.36,27994,26101,4948339,1021830,346,0,0,1,1,144.86
1.47,3,2565.52,30124,26752,5787293,379566,1245,1,0,1,1,126.62
1.08,3,4722.17,27211,25995,3770125,1115048,671,0,1,1,1,107.86
1.42,3,2796.6,24575,26695,1197234,1646147,1521,1,0,1,1,146.36
1.55,3,3651.91,29055,22360,1862106,1421287,1545,1,0,1,1,201.43
1,3,2850.33,30124,32991,5787293,8621121,183,0,0,0,1,116.78
1.33,3,7046.98,29055,31981,1862106,4549784,1470,0,0,1,1,240.48
1.19,3,3649.8,26506,27211,4459144,3770125,1102,0,1,1,0,177.22
1.16,3,2781.55,24575,30916,1197234,2230831,869,1,1,1,1,70.16
1.29,3,6438.27,27211,32991,3770125,8621121,1426,0,0,1,0,349.53
1.13,3,6172.12,24575,28739,1197234,2761118,1301,1,0,1,0,171.67
1.04,3,3375.37,21207,21002,2105604,258019,399,1,0,1,1,105.45
1,3,4601.96,28637,22956,3036732,754013,239,0,1,1,1,64.97
1.57,1,2313.6,32991,23903,8621121,2673620,2433,0,0,1,0,299.17
1,3,4636.25,24706,34880,9056076,1594251,305,0,1,1,1,58.98
1.57,3,3329.81,23903,31981,2673620,4549784,2259,0,0,1,1,273.83
1.01,3,4040.09,32991,23184,8621121,1173217,291,0,0,1,0,134.3
1,3,5291.99,28637,21112,3036732,205711,312,0,1,1,1,64.11
1.14,3,6205.97,29260,28637,7830332,3036732,805,0,0,0,1,244.5
1.29,3,3152,21081,32991,895123,8621121,613,0,0,1,0,144.6
1.05,3,3042.09,21207,32991,2105604,8621121,1097,1,0,0,1,124.92
1.12,3,4579.82,29260,26101,7830332,1021830,636,0,0,0,1,193.67
1.08,3,3100.41,27211,23025,3770125,2753373,1014,0,1,1,1,148.28
1.1,3,9174.83,30124,25054,5787293,2374260,483,0,0,1,0,186.28
1.02,3,5898.74,32991,25054,8621121,2374260,325,0,0,1,0,169.9
1.02,3,4386.55,18933,28637,382155,3036732,354,0,1,1,1,78.62
1.02,3,5328.85,29846,30916,2237227,2230831,677,0,1,1,1,63.06
1.16,3,3627.46,29260,23858,7830332,895414,576,0,1,0,1,113.5
1.52,1,2019.98,32991,30916,8621121,2230831,2411,0,0,0,1,289.25
1.17,3,2517.74,24706,32991,9056076,8621121,2467,0,0,1,0,326.47
1.13,3,5356.51,26993,24502,3532657,1442203,445,0,0,1,1,113.2
1.36,3,3146.68,23025,26695,2753373,1646147,1461,0,0,1,1,154.06
1.01,3,5472.43,24575,34880,1197234,1594251,387,1,1,1,1,55.16
1,3,3105.31,24706,23903,9056076,2673620,114,0,0,1,1,70.41
1.57,3,2313.6,32991,23903,8621121,2673620,2433,0,0,0,1,299.17
1.16,3,6460.84,28637,31981,3036732,4549784,1185,0,0,1,1,256.86
1.19,3,4037.09,27211,22263,3770125,472254,817,0,0,1,1,111.66
1.22,3,4116.08,26506,23025,4459144,2753373,1682,0,1,1,0,191.66
