Credit.Grade_A,Credit.Grade_AA,Credit.Grade_B,Credit.Grade_C,Credit.Grade_D,Credit.Grade_E,Credit.Grade_HR,Credit.Grade_NC,Age,Amount,Borrower.Rate,Debt.To.Income.Ratio,Status
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2000.0,0.17,0.07,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,10300.0,0.285,0.06,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1000.0,0.2475,0.07,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4000.0,0.1325,0.05,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1000.0,0.15,0.3,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15500.0,0.13,0.37,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15000.0,0.125,0.22,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2750.0,0.2875,0.41,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,7800.0,0.1975,0.2,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2700.0,0.29,0.17,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3500.0,0.29,0.21,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,6500.0,0.29,0.3,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2000.0,0.24,0.06,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4500.0,0.29,0.16,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2300.0,0.0739,0.17,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2100.0,0.26,0.27,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2000.0,0.29,0.14,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,5000.0,0.14,0.09,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3600.0,0.2415,0.09,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,15000.0,0.2295,0.1,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5000.0,0.24,0.24,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5000.0,0.25,0.16,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3000.0,0.087,0.17,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,0.08,0.05,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3000.0,0.25,0.14,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,6100.0,0.2,0.07,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14000.0,0.1519,0.45,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3500.0,0.29,0.08,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4800.0,0.09,0.046,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3000.0,0.2895,0.14,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2550.0,0.27,0.29,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3000.0,0.22,0.16,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5000.0,0.09,0.09,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14000.0,0.22,0.26,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5000.0,0.2,0.03,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10000.0,0.14,0.18,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.14,0.17,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4000.0,0.2485,0.09,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6000.0,0.2075,0.14,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3250.0,0.28,0.19,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5000.0,0.1795,0.17,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10200.0,0.0995,0.149,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10000.0,0.13,0.28,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1500.0,0.138,0.28,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5000.0,0.09,0.19,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3000.0,0.13,0.197,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1000.0,0.17,0.06,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,3500.0,0.2,0.606,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2000.0,0.14,0.31,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10000.0,0.27,0.15,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3350.0,0.1275,0.15,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17000.0,0.18,0.38,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2550.0,0.2675,0.21,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6500.0,0.1375,0.34,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1000.0,0.22,0.04,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2550.0,0.225,0.26,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4200.0,0.0875,0.307,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8500.0,0.075,0.127,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1000.0,0.2075,0.026,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5500.0,0.183,0.22,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2000.0,0.08,0.12,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1425.0,0.15,0.3,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,12130.0,0.115,0.182,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5450.0,0.2,0.32,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,2000.0,0.35,0.271,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,3000.0,0.22,0.2,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20000.0,0.13,0.28,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2550.0,0.2625,0.22,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3000.0,0.29,0.05,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6001.0,0.099,0.09,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2900.0,0.2875,0.06,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3000.0,0.29,0.2,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,3000.0,0.1575,0.075,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2500.0,0.082,0.21,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15000.0,0.1498,0.28,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3500.0,0.26,0.09,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3000.0,0.24,0.193,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,8000.0,0.2364,0.15,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2000.0,0.2575,0.15,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.0,0.07,0.24,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1200.0,0.29,0.12,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1000.0,0.25,0.48,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1500.0,0.29,0.16,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,5000.0,0.16,0.083,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1000.0,0.29,0.11,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9500.0,0.0912,0.08,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2000.0,0.24,0.4,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,11000.0,0.1222,0.13,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2500.0,0.2375,0.136,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4000.0,0.1415,0.178,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7000.0,0.27,0.16,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,3000.0,0.2,0.176,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16000.0,0.1825,0.16,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1500.0,0.129,0.2,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12000.0,0.15,0.4,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1000.0,0.2,0.2,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23700.0,0.2,0.17,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5000.0,0.088,0.02,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2000.0,0.2875,0.04,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6500.0,0.09,0.13,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3000.0,0.1195,0.17,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4000.0,0.29,0.28,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2550.0,0.22,0.07,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10000.0,0.1425,0.29,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,17127.0,0.17,0.23,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2551.0,0.2375,0.093,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1000.0,0.29,0.16,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1250.0,0.2895,0.28,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,12000.0,0.25,0.13,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5000.0,0.222,0.27,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1700.0,0.1025,0.07,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1600.0,0.1805,0.13,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2800.0,0.22,0.11,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10000.0,0.15,0.22,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2550.0,0.1375,0.08,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4000.0,0.23,0.26,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3100.0,0.26,0.09,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,7100.0,0.3575,0.103,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1400.0,0.177,0.055,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3000.0,0.1795,0.07,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7000.0,0.11,0.17,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2500.0,0.112,0.04,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4000.0,0.29,0.08,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9500.0,0.138,0.07,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4000.0,0.29,0.35,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2900.0,0.2375,0.139,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2500.0,0.29,0.04,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5000.0,0.0785,0.06,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5200.0,0.15,0.1,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5000.0,0.139,0.16,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2500.0,0.2875,0.3,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3001.0,0.29,0.31,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6000.0,0.21,0.22,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,10000.0,0.22,0.15,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1500.0,0.27,0.27,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3000.0,0.2,0.12,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1600.0,0.21,0.013,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,25000.0,0.1,1.3,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5000.0,0.1399,0.26,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1000.0,0.11,0.03,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5000.0,0.17,1.12,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2000.0,0.29,0.2,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2000.0,0.29,0.19,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5000.0,0.194,0.15,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,10101.0,0.2875,0.16,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2750.0,0.2375,0.05,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3000.0,0.1819,0.14,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1050.0,0.2075,0.32,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2000.0,0.1797,0.41,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1500.0,0.22,0.145,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6000.0,0.145,0.07,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25000.0,0.27,0.22,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5000.0,0.135,0.24,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2550.0,0.1,0.07,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1250.0,0.29,0.05,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3000.0,0.0875,0.02,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2550.0,0.29,2.3,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4000.0,0.16,0.15,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,3000.0,0.2375,0.11,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000.0,0.08,0.11,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2500.0,0.0845,0.19,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1500.0,0.29,0.03,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1500.0,0.183,0.27,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5000.0,0.1514,0.21,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2600.0,0.2599,0.65,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3000.0,0.2875,0.09,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3500.0,0.185,0.48,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3000.0,0.18,0.12,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3000.0,0.24,0.24,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25000.0,0.18,0.21,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,4816.0,0.169,0.08,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3000.0,0.23,0.21,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2000.0,0.2875,0.06,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3000.0,0.225,0.37,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2600.0,0.15,0.22,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3800.0,0.29,0.47,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1000.0,0.22,0.04,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2000.0,0.24,0.21,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2900.0,0.135,0.21,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3050.0,0.2875,0.05,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6001.0,0.18,0.32,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3000.0,0.14,0.16,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8000.0,0.15,0.1,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1500.0,0.18,0.01,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2500.0,0.17,0.12,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3000.0,0.11,0.18,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5000.0,0.289,0.02,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6001.0,0.1299,0.19,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6500.0,0.215,0.12,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1000.0,0.115,0.16,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4000.0,0.2,0.56,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1000.0,0.115,0.055,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1400.0,0.17,0.29,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1250.0,0.1175,0.18,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2600.0,0.132,0.032,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3500.0,0.0975,0.07,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3001.0,0.2875,0.03,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20000.0,0.138,0.21,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2750.0,0.29,0.19,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,3000.0,0.155,0.13,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6001.0,0.109,0.22,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5000.0,0.18,0.1,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10000.0,0.1826,0.11,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1500.0,0.1575,0.01,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3000.0,0.17,0.23,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3001.0,0.2373,0.34,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,19750.0,0.14,0.127,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6001.0,0.0911,0.13,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3000.0,0.1775,0.51,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2500.0,0.15,0.14,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2550.0,0.25,0.13,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4000.0,0.15,0.33,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000.0,0.0785,0.11,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2000.0,0.23,0.02,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1650.0,0.29,0.44,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.0,0.069,0.09,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4000.0,0.2375,0.499,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4600.0,0.26,0.11,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3000.0,0.29,0.04,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,3000.0,0.3,0.299,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2000.0,0.29,0.04,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,3000.0,0.2375,0.094,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7500.0,0.2,0.2,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7500.0,0.19,0.33,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1000.0,0.28,0.28,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,5000.0,0.15,0.167,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,16000.0,0.25,0.43,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15000.0,0.16,0.14,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10000.0,0.28,0.07,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7500.0,0.2,0.13,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3500.0,0.2,0.06,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3000.0,0.29,0.06,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7500.0,0.165,0.39,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,15000.0,0.15,0.27,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2500.0,0.29,0.26,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5000.0,0.2825,0.18,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4500.0,0.118,0.1,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2550.0,0.2295,0.07,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4000.0,0.0889,0.04,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4000.0,0.29,0.15,0
